TS,LAI,tair,VPD,ppt,sw,GPP
308,4.422580645,26.803125,0.647468119,0,223.5083333,10.5098585
309,4.429032258,25.68541667,0.476661835,1.6,202.214375,11.7428739
310,4.435483871,24.35708333,0.192429045,0.6,69.46375,6.3485641
311,4.441935484,23.46416667,0.063067793,13.63,25.42604167,2.1690605
312,4.448387097,24.10791667,0.132810933,7.41,73.13,6.2084763
313,4.45483871,24.06645833,0.094674276,4.01,49.82395833,4.5614147
314,4.461290323,25.36833333,0.206976107,9.22,135.0333333,10.9145014
315,4.467741935,25.66583333,0.2677634,15.03,136.4070833,9.7031184
316,4.474193548,25.83625,0.404199615,1.6,173.060625,9.6086641
317,4.480645161,26.86020833,0.512874772,0.8,210.5697917,10.5243429
318,4.487096774,27.9975,0.706844104,0,220.7735417,11.6109887
319,4.493548387,26.34916667,0.41619235,9.43,160.85625,9.2048725
320,4.5,23.64375,0.057990357,55.77,43.84833333,4.1152649
321,4.5,26.146875,0.451918452,0,185.6322917,11.1353213
322,4.5,26.01645833,0.387968384,3.01,192.9152083,11.0892927
323,4.5,27.30166667,0.659992696,0,228.345,11.6219096
324,4.5,28.41708333,0.808863164,0,246.623125,11.2092827
325,4.5,27.77020833,0.544213983,0,191.6554167,11.3741354
326,4.5,27.339375,0.538634657,0.2,160.7152083,10.0180803
327,4.5,27.49604167,0.616357273,0,182.196875,12.058934
328,4.5,25.84354167,0.273805228,10.24,127.8910417,10.5133979
329,4.5,26.551875,0.389673664,1.8,176.1033333,11.3836224
330,4.5,26.51645833,0.335227788,1.2,141.2629167,10.8922833
331,4.5,24.951875,0.185962115,10.03,92.19979167,7.8447643
332,4.5,26.51270833,0.470273766,0,165.2314583,11.0642675
333,4.5,25.28354167,0.210751179,4.01,103.0485417,9.0161662
334,4.5,26.24770833,0.460173203,0,178.2525,12.1544515
335,4.5,26.82125,0.437026303,0,149.73875,11.7489675
336,4.5,25.59270833,0.32856955,27.51,147.7577083,10.9794713
337,4.5,25.36166667,0.196489973,7.01,108.75875,9.4851077
338,4.5,25.33916667,0.260656385,29.91,114.4577083,9.4636729
339,4.5,25.62458333,0.262911891,0,118.4989583,9.4837988
340,4.5,25.43416667,0.1708314,24.5,96.16,8.2145041
341,4.5,25.350625,0.182979712,4.61,81.29875,7.1099314
342,4.5,23.90875,0.1692692,0.4,60.73,5.6842437
343,4.5,24.78604167,0.324891764,0,123.34375,10.0312107
344,4.5,25.44979167,0.220781007,12.64,111.0679167,8.8906445
345,4.5,24.68,0.122366387,7.82,78.8525,7.0614446
346,4.5,24.95166667,0.199863556,19.47,110.9489583,8.5916355
347,4.5,23.4875,0.351601051,16.05,139.7252083,10.5340095
348,4.5,25.59125,0.604754848,0,241.6579167,12.3027407
349,4.5,27.12,0.643644993,0,240.916875,11.4941259
350,4.5,26.95895833,0.541340953,0,197.2366667,10.3527922
351,4.516129032,25.76854167,0.262079311,13.66,125.32125,9.4335773
352,4.532258065,25.59458333,0.324629604,0.8,102.7591667,8.6799436
353,4.548387097,24.99729167,0.161135938,7.01,77.62791667,7.1159998
354,4.564516129,26.071875,0.429097321,2,203.119375,12.7983465
355,4.580645161,22.93,0.059603619,19.66,30.991875,3.1057522
356,4.596774194,24.3525,0.17667625,26.29,92.14208333,8.1653559
357,4.612903226,24.91229167,0.205674858,13.43,134.2416667,10.749798
358,4.629032258,25.14104167,0.234493708,11.42,128.7454167,10.1402194
359,4.64516129,25.365,0.206827811,18.84,114.2341667,9.5116259
360,4.661290323,25.0325,0.180975506,21.7,109.5377083,8.9893265
361,4.677419355,25.875,0.389204913,1.2,190.3479167,12.2849827
362,4.693548387,26.38666667,0.402724055,0,152.1695833,11.461074
363,4.709677419,25.83729167,0.3142144,5.01,141.33375,11.3326144
364,4.725806452,24.74854167,0.174909359,10.64,69.35479167,6.520042
365,4.741935484,24.316875,0.205663268,12.05,115.670625,9.7617174
366,4.758064516,25.95708333,0.345486308,0,145.0272917,11.1643666
367,4.774193548,26.56395833,0.421834874,0,150.2422917,11.0193796
368,4.790322581,26.66041667,0.33225454,0.8,116.7039583,9.8720469
369,4.806451613,24.22854167,0.086110604,54.2,42.86520833,3.9370421
370,4.822580645,25.63166667,0.276041954,4.82,165.1079167,12.2883765
371,4.838709677,26.681875,0.462227544,0.8,198.8716667,12.2952139
372,4.85483871,27.22375,0.566872233,0.2,208.19,12.6154126
373,4.870967742,27.09916667,0.522235236,0,186.3504167,11.9207093
374,4.887096774,25.11875,0.10589544,34.3,73.46604167,6.5761354
375,4.903225806,23.70104167,0.036121274,95.75,31.65145833,3.0476477
376,4.919354839,25.17583333,0.198135313,2,115.1404167,9.3737372
377,4.935483871,26.32791667,0.39205319,0.8,167.1822917,12.8428359
378,4.951612903,24.91520833,0.222359884,3.01,99.45270833,8.8919184
379,4.967741935,24.63229167,0.179108632,4,92.50916667,8.3731613
380,4.983870968,22.12291667,0.082781232,30.09,47.70270833,4.7122153
381,5,24.79208333,0.314820448,0,129.4397917,10.8599771
382,5,25.39708333,0.23660378,3.21,129.0110417,10.6145714
383,5,25.20916667,0.148000129,19.86,107.838125,9.5577514
384,5,24.96,0.182886083,10.03,106.6783333,8.3595231
385,5,25.52291667,0.275061313,0.6,120.56125,9.6061557
386,5,23.105625,0.047486131,85.55,27.27104167,2.4875437
387,5,25.24458333,0.422864813,0,182.7266667,11.9585842
388,5,26.61708333,0.560117259,0.2,200.42375,11.63719
389,5,24.58791667,0.214715554,5.8,89.976875,7.5947935
390,5,25.19916667,0.343060653,4,134.9395833,9.25676
391,5,26.24541667,0.41373215,0.6,146.796875,11.7220949
392,5,24.73416667,0.208623331,31.72,105.8647917,7.2918325
